English local authority (LA) name,Get Information about Schools (GIAS) local authority (LA) code,Office for National Statistics (ONS) local authority (LA) code (also known as Government Statistical Service (GSS) local authority (LA) code on GIAS)
Barking and Dagenham,301,E09000002
Barnet,302,E09000003
Barnsley,370,E08000016
Bath and North East Somerset,800,E06000022
Bedford,822,E06000055
Bexley,303,E09000004
Birmingham,330,E08000025
Blackburn with Darwen,889,E06000008
Blackpool,890,E06000009
Bolton,350,E08000001
"Bournemouth, Christchurch and Poole",839,E06000058
Bracknell Forest,867,E06000036
Bradford,380,E08000032
Brent,304,E09000005
Brighton and Hove,846,E06000043
"Bristol, City of",801,E06000023
Bromley,305,E09000006
Buckinghamshire,825,E06000060
Bury,351,E08000002
Calderdale,381,E08000033
Cambridgeshire,873,E10000003
Camden,202,E09000007
Central Bedfordshire,823,E06000056
Cheshire East,895,E06000049
Cheshire West and Chester,896,E06000050
City of London,201,E09000001
Cornwall,908,E06000052
County Durham,840,E06000047
Coventry,331,E08000026
Croydon,306,E09000008
Cumberland,942,E06000063
Darlington,841,E06000005
Derby,831,E06000015
Derbyshire,830,E10000007
Devon,878,E10000008
Doncaster,371,E08000017
Dorset,838,E06000059
Dudley,332,E08000027
Ealing,307,E09000009
East Riding of Yorkshire,811,E06000011
East Sussex,845,E10000011
Enfield,308,E09000010
Essex,881,E10000012
Gateshead,390,E08000037
Gloucestershire,916,E10000013
Greenwich,203,E09000011
Hackney,204,E09000012
Halton,876,E06000006
Hammersmith and Fulham,205,E09000013
Hampshire,850,E10000014
Haringey,309,E09000014
Harrow,310,E09000015
Hartlepool,805,E06000001
Havering,311,E09000016
"Herefordshire, County of",884,E06000019
Hertfordshire,919,E10000015
Hillingdon,312,E09000017
Hounslow,313,E09000018
Isle of Wight,921,E06000046
Isles Of Scilly,420,E06000053
Islington,206,E09000019
Kensington and Chelsea,207,E09000020
Kent,886,E10000016
"Kingston upon Hull, City of",810,E06000010
Kingston upon Thames,314,E09000021
Kirklees,382,E08000034
Knowsley,340,E08000011
Lambeth,208,E09000022
Lancashire,888,E10000017
Leeds,383,E08000035
Leicester,856,E06000016
Leicestershire,855,E10000018
Lewisham,209,E09000023
Lincolnshire,925,E10000019
Liverpool,341,E08000012
Luton,821,E06000032
Manchester,352,E08000003
Medway,887,E06000035
Merton,315,E09000024
Middlesbrough,806,E06000002
Milton Keynes,826,E06000042
Newcastle upon Tyne,391,E08000021
Newham,316,E09000025
Norfolk,926,E10000020
North East Lincolnshire,812,E06000012
North Lincolnshire,813,E06000013
North Northamptonshire,940,E06000061
North Somerset,802,E06000024
North Tyneside,392,E08000022
North Yorkshire,815,E06000065
Northumberland,929,E06000057
Nottingham,892,E06000018
Nottinghamshire,891,E10000024
Oldham,353,E08000004
Oxfordshire,931,E10000025
Peterborough,874,E06000031
Plymouth,879,E06000026
Portsmouth,851,E06000044
Pre LGR (1996) Avon,901,X999999
Pre LGR (1996) Cleveland,907,X999999
Pre LGR (1996) Humberside,920,X999999
Pre LGR (1996) North Yorkshire,927,X999999
Pre LGR (1997) Bedfordshire,902,X999999
Pre LGR (1997) Buckinghamshire,904,X999999
Pre LGR (1997) Derbyshire,910,X999999
Pre LGR (1997) Dorset,912,X999999
Pre LGR (1997) Durham,913,X999999
Pre LGR (1997) East Sussex,914,X999999
Pre LGR (1997) Hampshire,917,X999999
Pre LGR (1997) Leicestershire,924,X999999
Pre LGR (1997) Staffordshire,934,X999999
Pre LGR (1997) Wiltshire,939,X999999
Pre LGR (1998) Berkshire,903,X999999
Pre LGR (1998) Cambridgeshire,905,X999999
Pre LGR (1998) Cheshire,906,X999999
Pre LGR (1998) Devon,911,X999999
Pre LGR (1998) Essex,915,X999999
Pre LGR (1998) Hereford & Worcester,918,X999999
Pre LGR (1998) Kent,922,X999999
Pre LGR (1998) Lancashire,923,X999999
Pre LGR (1998) Nottinghamshire,930,X999999
Pre LGR (1998) Shropshire,932,X999999
Pre LGR (2009) Bedfordshire,820,E10000001
Pre LGR (2009) Cheshire,875,E10000004
Pre-LGR 2019 Bournemouth,837,E06000028
Pre-LGR 2019 Dorset,835,E10000009
Pre-LGR 2019 Poole,836,E06000029
Pre-LGR 2021 Northamptonshire,928,E10000021
Pre-LGR 2023 Cumbria,909,E10000006
Reading,870,E06000038
Redbridge,317,E09000026
Redcar and Cleveland,807,E06000003
Richmond upon Thames,318,E09000027
Rochdale,354,E08000005
Rotherham,372,E08000018
Rutland,857,E06000017
Salford,355,E08000006
Sandwell,333,E08000028
Sefton,343,E08000014
Sheffield,373,E08000019
Shropshire,893,E06000051
Slough,871,E06000039
Solihull,334,E08000029
Somerset,933,E06000066
South Gloucestershire,803,E06000025
South Tyneside,393,E08000023
Southampton,852,E06000045
Southend-on-Sea,882,E06000033
Southwark,210,E09000028
St. Helens,342,E08000013
Staffordshire,860,E10000028
Stockport,356,E08000007
Stockton-on-Tees,808,E06000004
Stoke-on-Trent,861,E06000021
Suffolk,935,E10000029
Sunderland,394,E08000024
Surrey,936,E10000030
Sutton,319,E09000029
Swindon,866,E06000030
Tameside,357,E08000008
Telford and Wrekin,894,E06000020
Thurrock,883,E06000034
Torbay,880,E06000027
Tower Hamlets,211,E09000030
Trafford,358,E08000009
Wakefield,384,E08000036
Walsall,335,E08000030
Waltham Forest,320,E09000031
Wandsworth,212,E09000032
Warrington,877,E06000007
Warwickshire,937,E10000031
West Berkshire,869,E06000037
Westmorland and Furness,943,E06000064
West Northamptonshire,941,E06000062
West Sussex,938,E10000032
Westminster,213,E09000033
Wigan,359,E08000010
Wiltshire,865,E06000054
Windsor and Maidenhead,868,E06000040
Wirral,344,E08000015
Wokingham,872,E06000041
Wolverhampton,336,E08000031
Worcestershire,885,E10000034
York,816,E06000014
