Welsh local authority (LA) name,Get Information about Schools (GIAS) local authority (LA) code,Office for National Statistics (ONS) local authority (LA) code (also known as Government Statistical Service (GSS) local authority (LA) code on GIAS)
Blaenau Gwent,677,W06000019
Bridgend,672,W06000013
Caerphilly,676,W06000018
Cardiff,681,W06000015
Carmarthenshire,669,W06000010
Ceredigion,667,W06000008
Conwy,662,W06000003
Denbighshire,663,W06000004
Flintshire,664,W06000005
Gwynedd,661,W06000002
Isle of Anglesey,660,W06000001
Merthyr Tydfil,675,W06000024
Monmouthshire,679,W06000021
Neath Port Talbot,671,W06000012
Newport,680,W06000022
Pembrokeshire,668,W06000009
Powys,666,W06000023
Rhondda Cynon Taf,674,W06000016
Swansea,670,W06000011
Torfaen,678,W06000020
Vale of Glamorgan,673,W06000014
Wrexham,665,W06000006
